Timestamp,Datetime,Hop_count,Bottleneck,Link_bottleneck,Vazao
1716677579,2024-05-25 19:52:59,6,100,df-to,925799646.0
1716715609,2024-05-26 06:26:49,6,100,df-to,926417359.0
1716733864,2024-05-26 11:31:04,6,100,df-to,904923802.0
1716770862,2024-05-26 21:47:42,6,100,df-to,921176364.0
1716793268,2024-05-27 04:01:08,6,100,df-to,925255723.0
1716910894,2024-05-28 12:41:34,6,100,df-to,923693415.0
1717035211,2024-05-29 23:13:31,6,100,df-to,913461934.0
1717062386,2024-05-30 06:46:26,6,100,df-to,924692571.0
1717164701,2024-05-31 11:11:41,6,100,df-to,926474791.0
1717180664,2024-05-31 15:37:44,6,100,df-to,920958499.0
1717199840,2024-05-31 20:57:20,6,100,df-to,922961302.0
1717204625,2024-05-31 22:17:05,6,100,df-to,915466508.0
1717265322,2024-06-01 15:08:42,6,100,df-to,924692848.0
1717308547,2024-06-02 03:09:07,6,100,df-to,925524171.0
1717350462,2024-06-02 14:47:42,6,100,df-to,930062869.0
1717373873,2024-06-02 21:17:53,6,100,df-to,907577145.0
1717381595,2024-06-02 23:26:35,6,100,df-to,911538921.0
1717410408,2024-06-03 07:26:48,6,100,df-to,924008128.0
1717422481,2024-06-03 10:48:01,6,100,df-to,924536716.0
1717497282,2024-06-04 07:34:42,6,100,df-to,908358560.0
1717511435,2024-06-04 11:30:35,6,100,df-to,913990904.0
1717554041,2024-06-04 23:20:41,6,100,df-to,925371790.0
1717588092,2024-06-05 08:48:12,6,100,df-to,922277095.0
1717615214,2024-06-05 16:20:14,6,100,df-to,656131012.0
1717633985,2024-06-05 21:33:05,6,100,df-to,923116512.0
1717675220,2024-06-06 09:00:20,6,100,df-to,903031483.0
1717707713,2024-06-06 18:01:53,6,100,df-to,924008081.0
1717722431,2024-06-06 22:07:11,6,100,df-to,906495900.0
1717758593,2024-06-07 08:09:53,6,100,df-to,926313937.0
1717784682,2024-06-07 15:24:42,6,100,df-to,918134339.0
1717811434,2024-06-07 22:50:34,6,100,df-to,914881965.0
1717855308,2024-06-08 11:01:48,6,100,df-to,886590507.0
1717872495,2024-06-08 15:48:15,6,100,df-to,930611153.0
1717894257,2024-06-08 21:50:57,6,100,df-to,915357439.0
1717906442,2024-06-09 01:14:02,6,100,df-to,925123737.0
1717927614,2024-06-09 07:06:54,6,100,df-to,916666743.0
1718171519,2024-06-12 02:51:59,6,100,df-to,920075909.0
1718190161,2024-06-12 08:02:41,6,100,df-to,926210700.0
1718200821,2024-06-12 11:00:21,6,100,df-to,923014519.0
1718205587,2024-06-12 12:19:47,6,100,df-to,910020968.0
1718227515,2024-06-12 18:25:15,6,100,df-to,923903131.0
1718236614,2024-06-12 20:56:54,6,100,df-to,926258590.0
1718275608,2024-06-13 07:46:48,6,100,df-to,926263453.0
1718289803,2024-06-13 11:43:23,6,100,df-to,845364972.0
1718312136,2024-06-13 17:55:36,6,100,df-to,913366371.0
